id;identifier;dataset_identifier;RADIO_C14 Std_To;RADIO_CalAMS_;RADIO_CalibC14_From_yrmax;RADIO_CalibC14_From_yrmin;RADIO_CalibC14_To_yrmax;RADIO_CalibC14_To_yrmin;RADIO_CalibC14_yrmax;RADIO_CalibC14_yrmin;RADIO_TL_From;RADIO_TL_To;RADIO_UnknownCal_From;RADIO_UnknownCal_To;RADIO_UnknownRadio_;RADIO_UnknownRadio_>;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL__BP_2;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CAL_From_BP_3;CAL_To_BP_3;CAL_DatingMethod_3;CAL__BP_4;CAL_From_BP_4;CAL_To_BP_4;CAL_DatingMethod_4;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP_To_3;PER_EndBP_To_3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorMinus;AgeErrorOrPlusError;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
2222;Pomeroy Wood|COUN000255|C4683;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
2223;Pomeroy Wood|COUN000255|C4684;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
2224;Pomeroy Wood|COUN000255|C4686;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
2225;Pomeroy Wood|COUN000255|C4690;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
2226;Pomeroy Wood|COUN000255|C4692;Pomeroy Wood|COUN000255;;;;;;;;;;;;;;;0;;1905;1870;ArchCal;;;;;;;;;;;;1;;1907;;;1540;;;;;;;;;;;;;1;;;;;1870;1905;1540;1907;1905;1870;;;1;;;;;;;;;;;;;1905;1870
2227;"Pompeii; Necropolis, Porta Nocera|COUN001587|Pot";"Pompeii; Necropolis, Porta Nocera|COUN001587";;;;;;;;;;;;;;;0;;;1871;HistCal;;;;;;;;;;;;1;;2199;;;1540;;;;;;;;;;;;;1;;;;;1871;;1540;2199;2199;1871;;;1;;;;;;;;;;;;;2199;1871
2228;Pompeii|COUN001356|BugsPresence;Pompeii|COUN001356;;;;;;;;;;;;;;;0;1871;;;HistCal;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;1871;1871;;;1871;1871;;;1;;;;;;;;;;;;;1871;1871
2229;Portsmouth: Mary Rose|COUN001398|BugsPresence;Portsmouth: Mary Rose|COUN001398;;;;;;;;;;;;;;;0;405;;;HistCal;;;;;;;;;;;;1;;400;;;0;;;;;;;;;;;;;1;;;;;405;405;0;400;405;405;;;1;;;;;;;;;;;;;405;405
2230;Poyle House|COUN001347|1093;Poyle House|COUN001347;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
2231;Poyle House|COUN001347|1337;Poyle House|COUN001347;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
