id;identifier;dataset_identifier;ZorDepthTop;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Notes_simpl_2;RADIO_CalibC14_from_yrmax_2;RADIO_CalibC14_from_yrmin_2;RADIO_C14_BeyondCalibration;RADIO_C14_BeyondCalibration_From;RADIO_C14_BeyondCalibration_To;RADIO_Method;RADIO_AAR_;RADIO_ESR_;RADIO_TL_;RADIO_TL_from;RADIO_TL_to;RADIO_U-Series_from;RADIO_U234/U238_;RADIO_UnknownRadio_.x;RADIO_UnknownRadio_from;RADIO_UnknownRadio_to;RADIO_AAR__2;RADIO_ESR__2;RADIO_TL__2;RADIO_TL_from_2;RADIO_TL_to_2;RADIO_UnknownRadio_.y;RADIO_AAR__3;RADIO_TL__3;RADIO_AAR__4;RADIO_AAR__5;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP__3;PER_EndBP__3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorOrPlusError;AgeErrorMinus;Chosen_C14_AgeDepthModel;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
4110;West Heslerton|COUN001600|132/10_15;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;6390;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;6390;6390;;;6390;6390;;;1;;;;;;;;;;;;;;6390;6390
4111;West Heslerton|COUN001600|132/44_48;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;10830;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;10830;10830;;;10830;10830;;;1;;;;;;;;;;;;;;10830;10830
4112;West Heslerton|COUN001600|139AA/0_5;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;5200;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;5200;5200;;;5200;5200;;;1;;;;;;;;;;;;;;5200;5200
4113;West Heslerton|COUN001600|143AA/S;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;347;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;347;347;;;347;347;;;1;;;;;;;;;;;;;;347;347
4114;West Heslerton|COUN001600|76AA/0_10;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4115;West Heslerton|COUN001600|76AB/0_10;West Heslerton|COUN001600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;3600;;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;3600;3600;;;3600;3600;;;1;;;;;;;;;;;;;;3600;3600
4116;West Runton|COUN000680|S1;West Runton|COUN000680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;478000;;;243000;;;;;;;;;;;;;1;;;;;;;243000;478000;478000;243000;;;;1;;;;;;;;;;;;;478000;243000
4117;West Runton|COUN001110|BugsPresence;West Runton|COUN001110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
4118;Westward Ho|COUN000678|c26g;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4119;Westward Ho|COUN000678|c29D;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4120;Westward Ho|COUN000678|m26d;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4121;Westward Ho|COUN000678|m26e;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4122;Westward Ho|COUN000678|m26f;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4123;Westward Ho|COUN000678|m29B;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
4124;Westward Ho|COUN000678|m29C;Westward Ho|COUN000678;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;10000;;;0;;;;;;;;;;;;;1;;;;;;;0;10000;10000;0;;;;1;;;;;;;;;;;;;10000;0
