identifier;dataset_identifier;SheetContext;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Method;RADIO_TL_yrmin;RADIO_TL_yrmax;RADIO_TL_Method;RADIO;CAL_From_BP;CAL_To_BP;CALENDAR;PER_Notes;PER_BeginBP;PER_EndBP;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDates;C14_older_than_30000BP;From_Method;To_Method;From_AgeErrorOrPlusError;To_AgeErrorOrPlusError;AgeFrom;AgeTo;ss
Culm valley|COUN001713|Columbjohn10_160-170;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn11_135-150;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn3__180-190;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn3_140-150;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn3_150-160;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn3_160-170;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Columbjohn3_170-180;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_100-110;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_110-120;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_120-130;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_50-60;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_60-70;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_70-80;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_90-100;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_Ext_1;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_Ext_2;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_Ext_Ditch;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Cutton_Alders_Int_3;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Dead_Moor_Drain;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Dead_Moor_Field;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Dead_Moor_Reed_1;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|Dead_Moor_Reed_2;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F100;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F101;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F102;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F103;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F104;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F105;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F106;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F107;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F108;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F65;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F66;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F67;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F68;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F69;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F70;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F71;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F72;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F73;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F74;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F75;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F76;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F77;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F78;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F79;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F80;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F81;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F82;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F83;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F84;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F85;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F86;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F87;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F88;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Culm valley|COUN001713|F89;Culm valley|COUN001713;Stratigraphic sequence;;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
