SEAD_taxonomic_code	SEAD_taxon_id	SEAD_taxon	SEAD_author_name	Dyntaxa_taxonID
88,023032	33819	Chrysolina latecincta	(Demaison)	212681
24,018008	31855	Bryaxis puncticollis	(Denny)	104333
24,017002	31852	Bythinus burrellii	Denny	100519
18,00701	30268	Stenichnus bicolor	(Denny)	104014
1,02902	29051	Bembidion semipunctatum	(Don.)	100471
23,203002	31672	Ilyobates bennetti	Donis.	104699
23,075002	30903	Leptacinus intermedius	Donis.	104179
1,029012	29037	Bembidion punctulatum	Drap.	208461
1,027001	29014	Tachys bistriatus	(Duft.)	208528
88,020002	33806	Pachnephorus tessellatus	(Duft.)	212664
1,065035	29379	Amara municipalis	(Duft.)	103470
88,039006	33896	Galerucella pusilla	(Duft.)	106067
1,081001	29478	Lionychus quadrillum	(Duft.)	103555
1,006002	28926	Leistus rufomarginatus	(Duft.)	103284
1,065063	29391	Amara equestris	(Duft.)	103484
1,012002	28963	Elaphrus cupreus	Duft.	103320
3,002001	29491	Peltodytes caesus	(Duft.)	101521
1,065026	29370	Amara familiaris	(Duft.)	103461
88,023004	33808	Chrysolina herbacea	(Duft.)	212668
1,04102	29173	Harpalus signaticornis	(Duft.)	103499
1,051002	29249	Pedius longicollis	(Duft.)	208538
1,041049	29191	Harpalus rubripes	(Duft.)	103509
1,06503	29374	Amara erratica	(Duft.)	103465
1,06202	29332	Agonum lugens	(Duft.)	100212
1,047001	29238	Anthracus consputus	(Duft.)	103529
10,03201	30056	Hister illigeri	Duft.	209134
1,009003	28945	Notiophilus palustris	(Duft.)	103294
1,037002	29148	Anisodactylus nemorivagus	(Duft.)	208720
1,065053	29385	Amara consularis	(Duft.)	103478
88,051032	33983	Longitarsus suturellus	(Duft.)	106111
91,022001	34216	Xylocleptes bispinus	(Duft.)	213692
1,045002	29222	Bradycellus verbasci	(Duft.)	103516
1,029049	29066	Bembidion lunatum	(Duft.)	102195
1,029079	29095	Bembidion fumigatum	(Duft.)	103384
1,029023	29053	Bembidion prasinum	(Duft.)	103359
1,041065	29199	Harpalus anxius	(Duft.)	102261
1,030002	29126	Asaphidion pallipes	(Duft.)	103346
1,056005	29304	Calathus micropterus	(Duft.)	103421
85,019084	33532	Aphodius varians	Duft.	100338
10,013004	30020	Hypocaccus rugiceps	(Duft.)	101123
1,070005	29421	Badister sodalis	(Duft.)	103489
1,065038	29381	Amara infima	(Duft.)	102163
91,034003	34258	Orthotomicus proximus	(Eich.)	106563
79,016021	33298	Anaspis costai	Emery	212307
23,1170171	31235	Tachinus elegans	Eppel.	101880
23,046031	30618	Carpelimus subtilis	(Er.)	104473
23,064001	30854	Pseudomedon obscurellus	(Er.)	104222
91,004003	34176	Hylastes cunicularius	Er.	106536
14,011017	30145	Catops fuliginosus	Er.	103994
23,193001	31639	Pachnida nigella	(Er.)	104891
23,055069	30765	Stenus latifrons	Er.	104289
7,001001	29744	Hydraena palustris	Er.	103829
23,050042	30706	Bledius subterraneus	Er.	104506
50,008029	32453	Meligethes morosus	Er.	105424
4,024005	29671	Ilybius subaeneus	Er.	103664
23,050037	30702	Bledius erraticus	Er.	100488
23,166014	31432	Aloconota gregaria	(Er.)	104742
23,055019	30733	Stenus proditor	Er.	104252
23,192001	31638	Alianta incana	(Er.)	104889
91,0040071	34181	Hylastes brunneus	Er.	106535
52,001006	32543	Rhizophagus perforatus	Er.	105460
10,002001	29982	Plegaderus saucius	Er.	101603
23,188109	31534	Atheta sodalis	(Er.)	104803
23,050015	30690	Bledius longulus	Er.	104515
23,114005	31203	Tachyporus solutus	Er.	104575
21,002002	30308	Ptenidium laevigatum	Er.	103837
23,150003	31369	Falagria caesa	Er.	104920
1,021007	29005	Trechus obtusus	Er.	103343
10,018001	30031	Carcinops pumilio	(Er.)	103804
10,028001	30041	Margarinotus marginatus	(Er.)	103816
42,009004	39794	Limnius muelleri	(Er.)	210992
23,141006	31345	Leptusa ruficollis	(Er.)	104960
23,068031	30888	Lathrobium dilutum	Er.	101179
22,003004	30403	Scaphisoma assimile	Er.	104449
23,100002	31078	Heterothops praevius	Er.	104129
85,01907	33524	Aphodius nemoralis	Er.	105054
23,0481012	30645	Anotylus complanatus	(Er.)	104489
23,045003	30590	Ochthephilus omalinus	(Er.)	104453
10,005001	29992	Abraeus granulum	Er.	100149
53,017005	32590	Notolaemus castaneus	(Er.)	101412
23,055018	30732	Stenus lustrator	Er.	104251
53,017012	32598	Cryptolestes corticinus	(Er.)	102220
42,002006	32252	Dryops griseus	(Er.)	105083
10,032013	30058	Hister funestus	Er.	103819
23,032001	30545	Lesteva punctata	Er.	104429
55,014021	32714	Atomaria basalis	Er.	105549
9,003018	29895	Cercyon granarius	Er.	209063
23,061005	30833	Rugilus geniculatus	(Er.)	209706
23,114009	31209	Tachyporus tersus	Er.	104580
21,002006	30312	Ptenidium fuscicorne	Er.	103838
55,014034	32726	Atomaria apicalis	Er.	105560
23,10404	31117	Quedius umbrinus	Er.	104160
91,004002	34175	Hylastes opacus	Er.	106539
23,001008	30413	Micropeplus caelatus	Er.	101327
55,014003	32699	Atomaria munda	Er.	100425
4,0270029	29693	Colymbetes paykulli	Er.	103678
23,055024	30735	Stenus providus	Er.	101846
42,002003	32249	Dryops luridus	(Er.)	105086
14,011005	30137	Catops grandicollis	Er.	209388
10,002004	29984	Plegaderus dissectus	Er.	101602
93,1800301	35078	Isochnus flagellum	(Er.)	106406
16,011016	30224	Agathidium laevigatum	Er.	103945
14,011012	30142	Apocatops nigrita	(Er.)	103990
23,014114	30466	Dropephylla vilis	(Er.)	101042
23,048006	30630	Oxytelus fulvipes	Er.	104479
23,046032	30619	Carpelimus elongatulus	(Er.)	104474
91,004005	34178	Hylastes attenuatus	Er.	106537
23,047002	30626	Aploderus caesus	(Er.)	104476
1,029087	29104	Bembidion tenellum	Er.	103378
56,003003	32773	Stilbus oblongus	(Er.)	105603
23,104019	31103	Quedius xanthopus	Er.	104147
23,001003	30409	Micropeplus fulvus	Er.	104315
5,0020049	29728	Gyrinus colymbus	Er.	208968
23,022001	30513	Mannerheimia arctica	(Er.)	104410
23,104001	31088	Quedius brevis	Er.	104143
21,009006	30345	Ptiliolum fuscum	(Er.)	103858
23,009005	30435	Proteinus atomarius	Er.	104362
23,055106	30799	Stenus palustris	Er.	104307
56,00201	32768	Olibrus liquidus	Er.	232381
23,111005	31176	Lordithon exoletus	(Er.)	104554
23,111006	31177	Lordithon trinotatus	(Er.)	104555
34,001016	32046	Ampedus cinnabarinus	(Esch.)	100261
1,0510281	29271	Pterostichus adstrictus	Esch.	103404
45,003003	32330	Trogoderma granarium	Everts	105261
1,029008	29032	Bembidion pygmaeum	(F)	208457
83,005001	33363	Phylan gibbus	(F.)	101559
70,007001	33171	Ischnomera sanguinicollis	(F.)	101144
85,019051	33509	Aphodius obscurus	(F.)	210915
91,001009	34166	Scolytus scolytus	(F.)	213650
7,005003	29819	Helophorus nubilus	F.	103706
50,010002	32502	Omosita discoidea	(F.)	105437
80,016002	33331	Melandrya barbata	(F.)	101281
29,006004	31968	Cordylepherus viridis	(F.)	105362
23,054002	30719	Oxyporus maxillosus	F.	209855
1,013001	28969	Loricera pilicornis	(F.)	103298
62,008003	32951	Scymnus frontalis	(F.)	105622
34,029002	32100	Paraphotistus impressus	(F.)	105174
1,079004	29456	Dromius agilis	(F.)	103540
